metric,value
初始资金,40000.0
期末净值,144923.63281871832
总收益率,2.622991560425207
年化收益率,0.23895290610729236
年化波动率,0.12768330880788692
"夏普比率(无风险利率=0,252日)",1.7426046757498572
最大回撤,-0.11175396418723438
调仓次数,169.0
止损次数,16.0
风险减半仓次数,81.0
回测区间(交易日),1515.0
ETF持有数量,4.0
止损率,0.07
调仓周期(交易日),10.0
标准差风险阈值,0.03
变异系数风险阈值,0.5
