factor,return,group,ic_mean,icir_annual,ic_hit_ratio,ic_monotonicity,long_short_annual,long_short_sharpe,long_excess_annual,long_excess_ir
ret_20_ne,20D,total,-0.04802896109485043,-1.734093620910639,0.7416666666666667,0.5878787878787878,0.16537233450743422,1.130137611807991,-0.001564968686192715,-0.021263626560700535
ret_mean_20_ne,20D,total,-0.05189942693947218,-1.8807752176780554,0.75,0.6242424242424242,0.16793323163342289,1.14581942304011,0.0010341927409514202,0.01426794797495672
ret_std_20_ne,20D,total,-0.09007971530191522,-2.976606773687885,0.8,0.7818181818181817,0.19802418798144367,1.284465543949592,0.030259902562945203,0.5069433362109278
ret_msr_20_ne,20D,total,-0.036660603926631466,-1.297873616105288,0.6416666666666667,0.41818181818181815,0.07717618220684627,0.48966327681101113,-0.015965387487571897,-0.30638321033795585
vw_ret_20_ne,20D,total,-0.06565548836347766,-2.865419757950902,0.8083333333333333,0.8060606060606059,0.17683972706244766,1.5148185670874121,0.016662243478604108,0.30652860547974536
intraday_ret_20_ne,20D,total,-0.06423832208217753,-2.649703582798711,0.8,0.9030303030303028,0.21802803350429595,1.810554129935814,0.03450909575246211,0.5759488945644373
vw_intraday_ret_20_ne,20D,total,-0.06997447337987264,-3.3770770565882264,0.825,0.9272727272727272,0.206169127336228,2.101202529005171,0.0369442400298925,0.766312514765037
overnight_ret_20_ne,20D,total,0.030707005810442202,2.367989285291076,0.7333333333333333,0.5272727272727272,0.11112949500849356,1.2329324531816719,-0.01202562480791213,-0.22413048852461043
abs_overnight_ret_20_ne,20D,total,-0.08330053934355909,-3.258712094827759,0.8333333333333334,0.9393939393939393,0.1815668152653036,1.3447083186608668,0.03545142183630397,0.7479562651613529
tvr_mean_20_ne,20D,total,-0.09392282553366309,-3.3845666536756287,0.8083333333333333,0.9999999999999999,0.244444411102489,1.8512503388711974,0.06004876907600547,1.3514254166298127
tvr_std_20_ne,20D,total,-0.0958111031670071,-3.91766283754991,0.8666666666666667,0.9999999999999999,0.2532339608553359,2.117743028979844,0.07252122414463258,1.4960764595569762
tvr_msr_20_ne,20D,total,0.04306549261018498,3.10241973009128,0.8333333333333334,0.9757575757575757,0.1152978642852765,1.5659243637279463,0.03821319522201899,1.0452426813085953
tvr_chg_mean_20_ne,20D,total,-0.03751182147312089,-2.840073826992255,0.8166666666666667,0.6363636363636362,0.11962851221528512,1.5162744737251956,0.01332627302863646,0.34527107863178214
tvr_chg_std_20_ne,20D,total,-0.03563029924497138,-3.049007884006644,0.825,0.8909090909090909,0.11562286925267806,1.6744691173990798,0.033064478021167076,0.88349831933131
tvr_chg_msr_20_ne,20D,total,-0.032024822093237294,-2.233802880906133,0.7833333333333333,0.5636363636363636,0.1062340976676179,1.245200193779814,0.011458126897610384,0.2916989228610156
amp_mean_20_ne,20D,total,-0.09241213044511992,-2.7987478746824364,0.8,0.709090909090909,0.17044803021032506,0.9817438236733326,0.013625365739414164,0.21959610717970035
amp_std_20_ne,20D,total,-0.09119079479937692,-3.628760782970584,0.8916666666666667,0.9757575757575757,0.20649529552024257,1.5875475413997966,0.04811149196656678,0.9342391695327897
amp_msr_20_ne,20D,total,0.035990102167370044,2.4151413604794625,0.7833333333333333,0.9757575757575757,0.11218369064368588,1.457338298062055,0.037189686304912165,0.8554464121515993
shadow_diff_mean_20_ne,20D,total,0.037250201392991907,2.0534655054872166,0.75,0.2606060606060606,0.035023627299072976,0.16321924876042468,-0.0365046469974276,-0.9101909735564363
shadow_diff_std_20_ne,20D,total,-0.07947064235515168,-3.0812975264968205,0.825,0.9515151515151514,0.1591091899298302,1.191180063903824,0.03415692965955297,0.6857797835587596
shadow_diff_msr_20_ne,20D,total,0.027515436959023445,1.6128243883960045,0.7166666666666667,-0.09090909090909088,0.012064466555447007,-0.09928902949584016,-0.02215720097967019,-0.5325392051073834
plus_mean_20_ne,20D,total,-0.036613420303594706,-1.4839563448734288,0.6583333333333333,0.8666666666666665,0.19001725330604446,1.4972749621287411,0.028687791175030078,0.4091437812589311
plus_std_20_ne,20D,total,-0.08780274914645832,-2.888507660507946,0.825,0.7818181818181817,0.19526701724850076,1.3037645975809646,0.02145870192338358,0.3714938121574035
plus_msr_20_ne,20D,total,-0.026527826334568714,-1.0904893990762683,0.6083333333333333,0.8181818181818182,0.10904081355412812,0.8373119674529732,0.018228266433478284,0.3482232445260618
illiq_mean_20_ne,20D,total,0.05274134860015343,2.6627467963402665,0.7333333333333333,0.8787878787878788,0.16458169324335598,1.6275209511158693,0.09499448062119724,1.6444128095265098
illiq_std_20_ne,20D,total,0.04558400497358664,2.3988464026542187,0.725,0.9636363636363635,0.12855655206847083,1.2866647630226893,0.06146228811317865,1.0758694580404924
illiq_msr_20_ne,20D,total,0.014674484234556669,1.3725470932680615,0.6083333333333333,0.6121212121212121,0.07276384938590855,0.9094752373461413,0.006431450373749328,0.21218310059587786
tvr_deplus_mean_20_ne,20D,total,-0.09213456080491356,-3.3376036902119397,0.8,0.9878787878787878,0.22273921133230118,1.6511125811974021,0.05369935397574155,1.26353062551075
tvr_deplus_std_20_ne,20D,total,-0.0770799939937285,-3.6567940371565437,0.8666666666666667,0.9999999999999999,0.18145914523332993,2.0206560055044234,0.06956145607981298,1.4075557922673658
plus_detvr_mean_20_ne,20D,total,-0.00566594563860365,-0.21837023943306308,0.49166666666666664,0.5878787878787878,0.09986340874242186,0.6615638248835936,0.0026865251290794966,0.03398442295787427
plus_detvr_std_20_ne,20D,total,-0.08860727901485833,-3.4968366776381656,0.8416666666666667,0.8303030303030302,0.21623351454813727,1.8250109485033406,0.04363206165458618,0.9770156539646995
tvr_ne_deplus_mean_20_ne,20D,total,-0.09082754571113077,-3.2726982837419896,0.7916666666666666,0.9878787878787878,0.22222888852659084,1.6394540689035182,0.055695252315434145,1.312906156239087
tvr_ne_deplus_std_20_ne,20D,total,-0.06968277844051801,-3.3921959759350355,0.825,0.9151515151515152,0.16395995805088337,1.8597178739242266,0.0593459024386702,1.1953279365756846
plus_ne_detvr_mean_20_ne,20D,total,-0.0038538784261240816,-0.15207750427432096,0.48333333333333334,0.5030303030303029,0.08297647577620375,0.5364255634279177,-0.004456457898711998,-0.05796323171604941
plus_ne_detvr_std_20_ne,20D,total,-0.08736541498597779,-3.4077096185250078,0.8166666666666667,0.9030303030303028,0.20972548401337054,1.734336766243151,0.04630430928984251,1.075898648483291
buy_sm_q1_ret_20_ne,20D,total,-0.08511662662611932,-3.9372252496768505,0.9,0.9636363636363635,0.25213137625636417,2.188492369219087,0.054951561068705516,1.3898318150807103
buy_sm_q2_ret_20_ne,20D,total,-0.03389893351416613,-2.4066712267143147,0.8,0.7818181818181817,0.1053373767408202,1.2095632226270807,0.012780527306707947,0.3010447314197322
buy_sm_q3_ret_20_ne,20D,total,0.02095519843391941,1.2627601999119098,0.7166666666666667,0.7818181818181817,0.040327557140044504,0.2488642994800963,0.00353321490343537,0.0754350644689334
buy_sm_q4_ret_20_ne,20D,total,0.059554259679506984,2.500916048946145,0.7833333333333333,0.9878787878787878,0.1515338956741345,1.1949171676353918,0.04977686097018559,1.1871333852728447
buy_sm_q4_q1_diff_ret_20_ne,20D,total,0.08966064050735244,3.6289859923915757,0.8666666666666667,0.9999999999999999,0.2514115264310287,1.9652321815566902,0.06126198187447977,1.436686602109373
buy_sm_high_low_diff_ret_20_ne,20D,total,0.08620384775145735,3.5349607171153874,0.8583333333333333,0.9878787878787878,0.2450581951807318,1.9772285664059697,0.06925082579597233,1.711798756099904
buy_main_q1_ret_20_ne,20D,total,0.051430654588665706,2.3514002255942876,0.7916666666666666,0.9878787878787878,0.13570561409438273,1.1586671111494666,0.03509182963362489,0.9640522852553894
buy_main_q2_ret_20_ne,20D,total,0.01904016934802603,1.2595654956364635,0.6916666666666667,0.6606060606060605,0.03276371601907741,0.1618133100237551,-0.003965481242815072,-0.08501318825289579
buy_main_q3_ret_20_ne,20D,total,-0.021059527799817245,-1.578500715830917,0.6666666666666666,0.5030303030303029,0.06676439730768635,0.714835102754844,0.0035396795427632146,0.07995060359693917
buy_main_q4_ret_20_ne,20D,total,-0.08200731512378438,-3.882424459982838,0.9,0.9999999999999999,0.24309458396389336,2.2095189223951266,0.05305656211195341,1.3617460404540207
buy_main_q4_q1_diff_ret_20_ne,20D,total,-0.08495901401258298,-3.6269046007241825,0.875,0.9878787878787878,0.24247098563111935,1.9671893311717075,0.05781455392634128,1.4860202851580264
buy_main_high_low_diff_ret_20_ne,20D,total,-0.07919218482988083,-3.500262868895244,0.8583333333333333,0.9878787878787878,0.23035042487325563,1.9795509278408263,0.053973869610934255,1.4016018381734012
tvr_q1_ret_20_ne,20D,total,0.013499095775167181,1.069466783204043,0.625,0.29696969696969694,0.020781597891699876,0.012072836695552149,-0.03131846426895931,-0.5997500003490999
tvr_q2_ret_20_ne,20D,total,0.010073751441967756,0.8281708352926728,0.6083333333333333,0.406060606060606,0.008229346522624584,-0.17834924215097275,-0.03629574236740134,-0.6022308514394439
tvr_q3_ret_20_ne,20D,total,-0.007924237565568,-0.6046457029937026,0.6083333333333333,0.05454545454545454,0.05427668748492677,0.486909881625386,-0.02026689314120137,-0.3639844814516954
