factor,return,group,ic_mean,icir_annual,ic_hit_ratio,ic_monotonicity,long_short_annual,long_short_sharpe,long_excess_annual,long_excess_ir
ret_5_buy_sm_diff_ne,20D,total,0.05922631830350391,3.541542441620109,0.875,0.9878787878787878,0.15796063435448499,1.7640586481293048,0.05324258191375775,1.1249897176692627
ret_5_buy_sm_ld_diff_ne,20D,total,0.05928130756284977,3.498370456500879,0.85,0.9999999999999999,0.1659748947854773,1.81747622250373,0.0572899474860752,1.2626936360991057
ret_5_buy_sm_exp_diff_ne,20D,total,0.060165309861128814,3.5254221654780884,0.8666666666666667,0.9757575757575757,0.16064957259159462,1.7401932273405585,0.05138917456024093,1.0933820501663594
ret_5_buy_elg_diff_ne,20D,total,-0.05886053287057894,-3.868524893847729,0.8916666666666667,0.6727272727272726,0.15196798030256234,1.5237974340097151,0.015087744486381303,0.44679865893899506
ret_5_buy_elg_ld_diff_ne,20D,total,-0.06016165559411213,-3.9632652000299773,0.9,0.7696969696969697,0.14997522725682588,1.470194876759411,0.01859108942979062,0.5201916353668028
ret_5_buy_elg_exp_diff_ne,20D,total,-0.0600266821999476,-3.9275668758952516,0.9,0.7575757575757575,0.14790227073873988,1.4377454048220997,0.015456288039667154,0.43057617957526867
ret_5_sm_imba_diff_ne,20D,total,0.052069623891687504,2.587781714873057,0.825,0.9636363636363635,0.11245823741239727,0.9883295039780085,0.03239299302395197,0.655354294285758
ret_5_sm_imba_ld_diff_ne,20D,total,0.0512789884859106,2.5546714736725527,0.8166666666666667,0.9757575757575757,0.11981269315897257,1.1156621742941253,0.033068524649513514,0.7034287140315038
ret_5_sm_imba_exp_diff_ne,20D,total,0.052125913045253304,2.5742418329468433,0.8166666666666667,0.9515151515151514,0.12384265645912708,1.121049780536892,0.036020528849387626,0.7357556068374358
ret_5_elg_imba_diff_ne,20D,total,-0.02803954208692424,-2.1690005636510734,0.7416666666666667,0.6606060606060605,0.034862405501232666,0.25579692460231657,0.03706640923118176,0.919522679789059
ret_10_buy_sm_diff_ne,20D,total,0.055771533182202654,3.4026314605795758,0.875,0.9878787878787878,0.1459883647189212,1.674397995353168,0.05974686158941862,1.3395319309723426
ret_10_buy_sm_ld_diff_ne,20D,total,0.061009554292882615,3.4674888276642957,0.875,0.9878787878787878,0.15997517251836335,1.6748650720339897,0.05649350582414088,1.2049525878790628
ret_10_buy_sm_exp_diff_ne,20D,total,0.05934346920775611,3.441916398800668,0.8666666666666667,0.9878787878787878,0.1574003790529294,1.7319990805109702,0.060892853692896445,1.334851984729481
ret_10_buy_elg_diff_ne,20D,total,-0.05383233718742315,-3.6246774410724267,0.8833333333333333,0.7454545454545454,0.14728963787667532,1.5344911140921584,0.008955212736688272,0.2561849205590827
ret_10_buy_elg_ld_diff_ne,20D,total,-0.058888431528870896,-3.791867559529265,0.8916666666666667,0.7333333333333332,0.15090006585009863,1.4703392629449519,0.015727540609707612,0.4561205164775012
ret_10_buy_elg_exp_diff_ne,20D,total,-0.056844021430447415,-3.71168682998637,0.8916666666666667,0.6969696969696969,0.1503392941578707,1.4740297430441511,0.013762322238826192,0.3887370211594897
ret_10_sm_imba_diff_ne,20D,total,0.053000665779205466,2.703113232853776,0.8333333333333334,0.9515151515151514,0.10605861437579729,0.9281507435452886,0.037306000242663284,0.8084788489626523
ret_10_sm_imba_ld_diff_ne,20D,total,0.054273741132359714,2.642268985812926,0.8166666666666667,0.9636363636363635,0.11698052015709628,1.0372580972419194,0.03782616080506075,0.7929832005373363
ret_10_sm_imba_exp_diff_ne,20D,total,0.05420228471137906,2.6764699169741393,0.825,0.9878787878787878,0.10975129786661339,0.9530845217633429,0.03698359573281362,0.7842908896017909
ret_10_elg_imba_diff_ne,20D,total,-0.025761889478777507,-2.07455562049217,0.7583333333333333,0.6848484848484848,0.040408568095310474,0.37769135975230145,0.03985661289713614,1.0932907641993925
vm_ret_5_buy_sm_diff_ne,20D,total,0.054150549071044066,3.350959876204202,0.8583333333333333,0.9757575757575757,0.13083634306761605,1.519087483059903,0.0463816795092892,1.0242142288339033
vm_ret_5_buy_sm_ld_diff_ne,20D,total,0.05123021327801247,3.1333594925255617,0.85,0.9757575757575757,0.11765164440895806,1.375150128917323,0.04428593149248909,0.9253524273374093
vm_ret_5_buy_sm_exp_diff_ne,20D,total,0.05341320795428191,3.236082391522503,0.85,0.9878787878787878,0.12705484015848806,1.4849720757293736,0.04890366560471991,1.027456271673958
vm_ret_5_buy_elg_diff_ne,20D,total,-0.057014834681620254,-3.7060321498083084,0.85,0.709090909090909,0.14363774083616804,1.4774411896079076,0.005983813004526023,0.1711867665463175
vm_ret_5_buy_elg_ld_diff_ne,20D,total,-0.057824681774603114,-3.8228707214026842,0.8666666666666667,0.7575757575757575,0.13544487859501655,1.4190460395829174,0.010197591909316578,0.3098222247455277
vm_ret_5_buy_elg_exp_diff_ne,20D,total,-0.05798795158133056,-3.7716614979049834,0.8666666666666667,0.7818181818181817,0.13849556443751648,1.4325261941553786,0.008025772770407969,0.23520020073679354
vm_ret_5_sm_imba_diff_ne,20D,total,0.04579336832606285,2.370206748796766,0.8083333333333333,0.9272727272727272,0.08711103250101011,0.7824685098052881,0.027272503479783633,0.5546072723124763
vm_ret_5_sm_imba_ld_diff_ne,20D,total,0.041446327689552295,2.184199304123323,0.7666666666666667,0.9878787878787878,0.08248388679307797,0.7840686991925904,0.027872686678884793,0.5955902897436781
vm_ret_5_sm_imba_exp_diff_ne,20D,total,0.04391449404279719,2.2773337682183485,0.8,0.9636363636363635,0.08596388871598926,0.8017436434010128,0.02634225451445385,0.5636549097540376
vm_ret_5_elg_imba_diff_ne,20D,total,-0.024562082264420845,-1.9254262632375607,0.7416666666666667,0.6,0.03318250577234838,0.25004818261356876,0.04410148085213993,1.1361580517745804
vm_ret_10_buy_sm_diff_ne,20D,total,0.05432478071629456,3.3389456748428303,0.8583333333333333,0.9878787878787878,0.13757334446697028,1.6085684681083632,0.05816800113465177,1.3183762483309769
vm_ret_10_buy_sm_ld_diff_ne,20D,total,0.057267421141993125,3.3226038561984215,0.8583333333333333,0.9757575757575757,0.13709537207591288,1.501081118351836,0.0471100136997658,1.0115985212133125
vm_ret_10_buy_sm_exp_diff_ne,20D,total,0.056612464413476365,3.337010225827124,0.8666666666666667,0.9878787878787878,0.13817403059391106,1.5318538362628404,0.05415458117183548,1.1804249211624196
vm_ret_10_buy_elg_diff_ne,20D,total,-0.05291515316199609,-3.602988142785428,0.8916666666666667,0.6727272727272726,0.13143021273494757,1.4093069878886748,0.00459974173419147,0.12920593673190706
vm_ret_10_buy_elg_ld_diff_ne,20D,total,-0.05755347312466772,-3.72761512935117,0.875,0.6848484848484848,0.14545652980404117,1.484707296705073,0.0133361835787701,0.3841262662801736
vm_ret_10_buy_elg_exp_diff_ne,20D,total,-0.05564640901761749,-3.675772372542909,0.8833333333333333,0.7454545454545454,0.13590166535062917,1.3641118801465535,0.00811637639047732,0.23022821694355913
vm_ret_10_sm_imba_diff_ne,20D,total,0.05002238448374388,2.584781083921593,0.825,0.9515151515151514,0.08307218491789378,0.7195978419557821,0.02468002916749367,0.5458256985362144
vm_ret_10_sm_imba_ld_diff_ne,20D,total,0.04873279397615442,2.444463370253591,0.825,0.9515151515151514,0.08723339904271092,0.7578934433010914,0.027200727458167904,0.5723667111003682
vm_ret_10_sm_imba_exp_diff_ne,20D,total,0.049890837123240966,2.517171000392202,0.825,0.9393939393939393,0.08658420127168771,0.7540056738465858,0.027128227180362688,0.5862290708795518
vm_ret_10_elg_imba_diff_ne,20D,total,-0.02495476123909513,-2.0281117187127693,0.7583333333333333,0.5757575757575757,0.039773302516547315,0.36986288294067715,0.041719441063941334,1.1810124206079058
